"Time","Distance","BPS_Rear","BPS_Front","Longitudinal_a","Lateral_acc","Vertical_acc","Calculated_Gea","Datalogger_Tem","Battery","PE3_RPM","PE3_TPS","PE3_FUEL_TIME","PE3_IGN_ANG","PE3_BARO","PE3_MAP","PE3_LAMBDA","PE3_ANA_IN1","PE3_ANA_IN2","PE3_ANA_IN3","PE3_ANA_IN4","PE3_ANA_IN5","PE3_ANA_IN6","PE3_ANA_IN7","PE3_ANA_IN8","PE3_FREQ1","PE3_FREQ2","PE3_FREQ3","PE3_FREQ4","PE3_BATTVOLT","PE3_IAT","PE3_ECT","PE3_THERMIST1","PE3_THERMIST2","GPS_Speed","GPS_Nsat","GPS_LatAcc","GPS_LonAcc","GPS_Slope","GPS_Heading","GPS_Gyro","GPS_Altitude","GPS_PosAccuracy","Max_Speed_WS","GPS_MPH","SPS","Oil Pressure_Cal","Speed_WS","AIM_Slip_Factor","Slip Ratio","Average_Driven","WSRPM","GPS_Latitude","GPS_Longitude","GPS_Elevation",
"Time","Distance","BPS_Rear","BPS_Front","Longitudinal_a","Lateral_acc","Vertical_acc","Calculated_Gea","Datalogger_Tem","Battery","PE3_RPM","PE3_TPS","PE3_FUEL_TIME","PE3_IGN_ANG","PE3_BARO","PE3_MAP","PE3_LAMBDA","PE3_ANA_IN1","PE3_ANA_IN2","PE3_ANA_IN3","PE3_ANA_IN4","PE3_ANA_IN5","PE3_ANA_IN6","PE3_ANA_IN7","PE3_ANA_IN8","PE3_FREQ1","PE3_FREQ2","PE3_FREQ3","PE3_FREQ4","PE3_BATTVOLT","PE3_IAT","PE3_ECT","PE3_THERMIST1","PE3_THERMIST2","GPS_Speed","GPS_Nsat","GPS_LatAcc","GPS_LonAcc","GPS_Slope","GPS_Heading","GPS_Gyro","GPS_Altitude","GPS_PosAccuracy","Max_Speed_WS","GPS_MPH","SPS","Oil Pressure_Cal","Speed_WS","AIM_Slip_Factor","Slip Ratio","Average_Driven","WSRPM","GPS_Latitude","GPS_Longitude","GPS_Elevation",
"sec","km","psi","psi","g","g","g","#","°F","V","rpm","%","ms","deg","mbar","mbar","lambda","V","V","V","V","V","V","V","V","Hz","Hz","Hz","Hz","V","°F","°F","°F","°F","mph","#","g","g","deg","deg","deg/s","m","m","","Unit","Unit","psi","","","%","Unit","Unit","°","°","cm",
"","","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53",

26.990,1.399,2.684066,-43.702381,3.212939,0.978896,-2.434020,6.000000,130.515549,13.213037,6170.200195,0.000000,2.860000,17.800001,856.000000,784.799988,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.045000,1.803700,0.042000,152.399994,167.300003,140.100006,262.299988,13.200000,82.580002,183.379990,68.000000,68.000000,27.247128,11.000000,-0.191260,-0.223445,-1.009346,-156.662292,-8.996906,293.000000,1.620000,477.564209,16.920465,1.393198,49.138756,39.797020,0.000000,-8.567086,159.850006,0.025888,42.065091694145,-84.238293919741,293.19
27.000,1.400,0.242674,-43.702381,3.362228,1.094899,-2.237375,6.000000,130.515549,13.213257,6159.000000,0.000000,2.860000,17.800001,856.000000,785.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.045000,1.802000,0.042000,152.000000,165.000000,140.000000,274.000000,13.200000,82.580002,183.379990,68.000000,68.000000,27.216059,11.000000,-0.168253,-0.221788,-1.019659,-156.543121,-7.928913,293.000000,1.620000,491.330963,16.901173,1.393198,49.075005,40.944248,0.000000,-9.197522,158.500000,0.025735,42.065090578684,-84.238294016967,293.19
27.010,1.400,0.242674,-46.143772,3.557947,1.159888,-1.936397,6.000000,130.515549,13.213476,6150.000000,0.000000,2.862000,17.800001,856.000000,785.599976,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.044800,1.801000,0.042000,151.000000,162.399994,139.600006,260.700012,13.200000,82.580002,183.379990,68.000000,68.000000,27.191204,11.000000,-0.141294,-0.225931,-1.029399,-156.436554,-6.599651,293.000000,1.620000,475.071930,16.885738,1.393198,49.037506,39.589329,0.000000,-9.497437,156.699997,0.025471,42.065089463223,-84.238294114193,293.19
27.020,1.401,1.463370,-50.416210,3.510228,1.160732,-2.132347,6.000000,130.515549,13.213696,6141.000000,0.000000,2.864000,17.800001,856.000000,786.200012,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.044600,1.800000,0.042000,150.000000,159.800003,139.199997,247.399994,13.200000,82.580002,183.379990,68.000000,68.000000,27.166349,11.000000,-0.114336,-0.230073,-1.039140,-156.329987,-5.270389,293.000000,1.620000,458.812927,16.870302,1.393198,49.000004,38.234413,0.000000,-9.797353,154.899994,0.025206,42.065088347761,-84.238294211418,293.19
27.030,1.401,-1.588370,-54.078297,3.315859,1.146345,-2.720473,6.000000,130.515549,13.213916,6132.000000,0.000000,2.866000,17.800001,856.000000,786.799988,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.044400,1.799000,0.042000,149.000000,157.199997,138.800003,234.100006,13.200000,82.580002,183.379990,68.000000,68.000000,27.141495,11.000000,-0.087377,-0.234216,-1.048880,-156.223404,-3.941127,293.000000,1.620000,442.553894,16.854868,1.393198,48.962505,36.879494,0.000000,-10.097267,153.100006,0.024942,42.065087232300,-84.238294308644,293.19
27.040,1.401,-2.809066,-52.247253,3.202574,1.199590,-3.106472,6.000000,130.515549,13.214136,6123.000000,0.000000,2.868000,17.800001,856.000000,787.400024,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.044200,1.798000,0.042000,148.000000,154.600006,138.399994,220.800003,13.200000,82.580002,183.379990,68.000000,68.000000,27.116640,11.000000,-0.060418,-0.238359,-1.058620,-156.116837,-2.611865,293.000000,1.620000,426.294891,16.839434,1.393198,48.925003,35.524574,0.000000,-10.397182,151.300003,0.024678,42.065086116839,-84.238294405870,293.19
27.050,1.402,-8.302197,-49.805862,3.165397,1.312816,-3.060524,6.000000,130.515549,13.214355,6114.000000,0.000000,2.870000,17.800001,856.000000,788.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.044000,1.797000,0.042000,147.000000,152.000000,138.000000,207.500000,13.200000,82.580002,183.379990,68.000000,68.000000,27.091785,11.000000,-0.033459,-0.242501,-1.068361,-156.010269,-1.282603,293.000000,1.620000,410.035858,16.823997,1.393198,48.887505,34.169655,0.000000,-10.697098,149.500000,0.024414,42.065085001377,-84.238294503096,293.19
27.060,1.402,-7.691850,-46.143772,3.108264,1.376215,-2.758311,6.000000,130.515549,13.214575,6108.000000,0.000000,2.870000,17.800001,856.000000,788.400024,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043800,1.796000,0.042000,146.000000,149.399994,137.600006,194.199997,13.200000,82.580002,183.379990,68.000000,68.000000,27.066931,11.000000,-0.006501,-0.246644,-1.078101,-155.903702,0.046659,293.000000,1.620000,393.776825,16.808563,1.393198,48.850006,32.814735,0.000000,-10.997013,147.699997,0.024150,42.065083885916,-84.238294600322,293.19
27.070,1.403,-2.198718,-43.702381,2.977363,1.366533,-2.404938,6.000000,130.515549,13.214795,6102.000000,0.000000,2.870000,17.800001,856.000000,788.799988,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043600,1.795000,0.042000,145.000000,146.800003,137.199997,180.899994,13.200000,82.580002,183.379990,68.000000,68.000000,27.042076,11.000000,0.020458,-0.250786,-1.087841,-155.797134,1.375921,293.000000,1.620000,377.517822,16.793129,1.393198,48.812504,31.459820,0.000000,-11.296928,145.899994,0.023886,42.065082770148,-84.238294684416,293.20
27.080,1.403,-8.912545,-49.195511,2.771500,1.403140,-2.187277,6.000000,130.515549,13.215014,6096.000000,0.000000,2.870000,17.800001,856.000000,789.200012,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043400,1.794000,0.042000,144.000000,144.199997,136.800003,167.600006,13.200000,82.580002,183.379990,68.000000,68.000000,27.017221,11.000000,0.047417,-0.254929,-1.097581,-155.690552,2.705184,293.000000,1.620000,361.258789,16.777695,1.393198,48.775005,30.104900,0.000000,-11.596843,144.100006,0.023622,42.065081653664,-84.238294737873,293.20
27.090,1.403,-7.691850,-55.298992,2.594713,1.542297,-2.184041,6.000000,130.515549,13.215235,6090.000000,0.000000,2.870000,17.800001,856.000000,789.599976,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043200,1.793000,0.042000,143.000000,141.600006,136.399994,154.300003,13.200000,82.580002,183.379990,68.000000,68.000000,26.992367,11.000000,0.074376,-0.259071,-1.107322,-155.583984,4.034445,293.000000,1.620000,344.999786,16.762259,1.393198,48.737503,28.749981,0.000000,-11.896758,142.300003,0.023357,42.065080537180,-84.238294791329,293.20
27.100,1.404,-0.978022,-52.857601,2.548206,1.672080,-2.265138,6.000000,130.515549,13.215454,6084.000000,0.000000,2.870000,17.800001,856.000000,790.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.792000,0.042000,142.000000,139.000000,136.000000,141.000000,13.200000,82.580002,183.379990,68.000000,68.000000,26.967512,11.000000,0.101334,-0.263214,-1.117062,-155.477417,5.363708,293.000000,1.620000,328.740753,16.746824,1.393198,48.700005,27.395063,0.000000,-12.196673,140.500000,0.023093,42.065079420696,-84.238294844786,293.20
27.110,1.404,-3.419414,-47.364468,2.627725,1.693783,-2.298892,6.000000,130.515549,13.215673,6061.399902,0.000000,2.870000,17.800001,856.000000,790.400024,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.787100,0.042000,141.500000,138.800003,136.199997,147.199997,13.200000,82.580002,183.379990,68.000000,68.000000,26.917803,11.000000,0.128038,-0.271945,-1.126802,-155.384598,6.711304,293.000000,1.619000,336.336212,16.715954,1.393198,48.516254,28.028019,0.000000,-12.008491,140.149994,0.023068,42.065078304213,-84.238294898242,293.20
27.120,1.405,-8.302197,-49.805862,2.794876,1.643599,-2.259921,6.000000,130.515549,13.215894,6038.799805,0.000000,2.870000,17.800001,856.000000,790.799988,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.782200,0.042000,141.000000,138.600006,136.399994,153.399994,13.200000,82.580002,183.379990,68.000000,68.000000,26.868093,11.000000,0.154742,-0.280677,-1.136543,-155.291779,8.058901,293.000000,1.618000,343.931671,16.685085,1.393198,48.332504,28.660973,0.000000,-11.820309,139.800003,0.023043,42.065077187729,-84.238294951699,293.20
27.130,1.405,-5.860806,-51.026558,2.950912,1.583179,-2.137429,6.000000,130.515549,13.216113,6016.200195,0.000000,2.870000,17.800001,856.000000,791.200012,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.777300,0.042000,140.500000,138.399994,136.600006,159.600006,13.200000,82.580002,183.379990,68.000000,68.000000,26.818382,11.000000,0.181446,-0.289408,-1.146283,-155.198959,9.406498,293.000000,1.617000,351.527130,16.654215,1.393198,48.148754,29.293928,0.000000,-11.632126,139.449997,0.023018,42.065076071245,-84.238295005155,293.20
27.140,1.405,-5.860806,-52.857601,2.961105,1.548629,-2.009313,6.000000,130.515549,13.216333,5993.600098,0.000000,2.870000,17.800001,856.000000,791.599976,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.772400,0.042000,140.000000,138.199997,136.800003,165.800003,13.200000,82.580002,183.379990,68.000000,68.000000,26.768673,11.000000,0.208150,-0.298139,-1.156023,-155.106140,10.754095,293.000000,1.616000,359.122589,16.623346,1.393198,47.965004,29.926884,0.000000,-11.443943,139.100006,0.022992,42.065074954761,-84.238295058612,293.20
27.150,1.406,-9.522894,-56.519688,2.854041,1.594771,-2.037811,6.000000,130.515549,13.216553,5971.000000,0.000000,2.870000,17.800001,856.000000,792.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.767500,0.042000,139.500000,138.000000,137.000000,172.000000,13.200000,82.580002,183.379990,68.000000,68.000000,26.718964,11.000000,0.234854,-0.306871,-1.165763,-155.013321,12.101692,293.000000,1.615000,366.718079,16.592476,1.393198,47.781254,30.559837,0.000000,-11.255760,138.750000,0.022967,42.065073838277,-84.238295112068,293.20
27.160,1.406,-7.691850,-54.078297,2.751513,1.724757,-2.218712,6.000000,130.515549,13.216772,5976.399902,0.000000,2.870000,17.800001,856.000000,792.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.762600,0.042000,139.000000,137.800003,137.199997,178.199997,13.200000,82.580002,183.379990,68.000000,68.000000,26.669254,11.000000,0.261557,-0.315602,-1.175504,-154.920502,13.449288,293.000000,1.614000,374.313538,16.561605,1.393198,47.597504,31.192793,0.000000,-11.067578,138.399994,0.022942,42.065072721794,-84.238295165524,293.20
27.170,1.407,-5.250458,-51.636906,2.695725,1.840901,-2.398246,6.000000,130.515549,13.216992,5981.799805,0.000000,2.870000,17.800001,856.000000,792.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.757700,0.042000,138.500000,137.600006,137.399994,184.399994,13.200000,82.580002,183.379990,68.000000,68.000000,26.619545,11.000000,0.288261,-0.324333,-1.185244,-154.827682,14.796885,293.000000,1.613000,381.908997,16.530737,1.393198,47.413754,31.825748,0.000000,-10.879395,138.050003,0.022917,42.065071605310,-84.238295218981,293.20
27.180,1.407,-8.912545,-49.195511,2.735769,1.868502,-2.484567,6.000000,130.515549,13.217212,5987.200195,0.000000,2.870000,17.800001,856.000000,792.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.752800,0.042000,138.000000,137.399994,137.600006,190.600006,13.200000,82.580002,183.379990,68.000000,68.000000,26.569834,11.000000,0.314965,-0.333065,-1.194984,-154.734863,16.144482,293.000000,1.612000,389.504456,16.499866,1.393198,47.230003,32.458702,0.000000,-10.691213,137.699997,0.022891,42.065070488826,-84.238295272437,293.20
27.190,1.407,-10.133242,-49.195511,2.861412,1.848608,-2.390647,6.000000,130.515549,13.217432,5992.600098,0.000000,2.870000,17.800001,856.000000,792.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.747900,0.042000,137.500000,137.199997,137.800003,196.800003,13.200000,82.580002,183.379990,68.000000,68.000000,26.520124,11.000000,0.341669,-0.341796,-1.204725,-154.642044,17.492079,293.000000,1.611000,397.099915,16.468998,1.393198,47.046253,33.091660,0.000000,-10.503031,137.350006,0.022866,42.065069372342,-84.238295325894,293.20
27.200,1.408,-5.860806,-48.585163,2.890251,1.867148,-2.111480,6.000000,130.515549,13.217651,5998.000000,0.000000,2.870000,17.800001,856.000000,792.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.743000,0.042000,137.000000,137.000000,138.000000,203.000000,13.200000,82.580002,183.379990,68.000000,68.000000,26.470415,11.000000,0.368373,-0.350527,-1.214465,-154.549225,18.839676,293.000000,1.610000,404.695374,16.438128,1.393198,46.862503,33.724613,0.000000,-10.314848,137.000000,0.022841,42.065068322061,-84.238295502302,293.20
27.210,1.408,-3.419414,-48.585163,2.765132,1.933688,-1.984539,6.000000,130.515549,13.217871,5978.399902,0.000000,2.870000,17.800001,856.000000,792.200012,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.740400,0.042000,138.199997,136.100006,138.100006,202.500000,13.200000,82.580002,183.379990,68.000000,68.000000,26.457987,11.000000,0.388066,-0.360023,-1.222486,-154.479324,19.657860,293.000000,1.610000,404.220642,16.430410,1.393198,46.765003,33.685055,0.000000,-9.835848,137.149994,0.022932,42.065067288329,-84.238295709448,293.20
27.220,1.408,-4.640110,-51.026558,2.694785,1.961564,-2.318424,6.000000,130.515549,13.218091,5958.799805,0.000000,2.870000,17.800001,856.000000,792.400024,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.737800,0.042000,139.399994,135.199997,138.199997,202.000000,13.200000,82.580002,183.379990,68.000000,68.000000,26.445560,11.000000,0.407759,-0.369520,-1.230508,-154.409424,20.476044,293.000000,1.610000,403.745941,16.422693,1.393198,46.667503,33.645493,0.000000,-9.356847,137.300003,0.023024,42.065066254598,-84.238295916595,293.20
27.230,1.409,-7.081501,-52.247253,2.798913,1.910550,-2.866218,6.000000,130.515549,13.218310,5939.200195,0.000000,2.870000,17.800001,856.000000,792.599976,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.735200,0.042000,140.600006,134.300003,138.300003,201.500000,13.200000,82.580002,183.379990,68.000000,68.000000,26.433132,11.000000,0.427452,-0.379016,-1.238529,-154.339523,21.294228,293.000000,1.610000,403.271210,16.414974,1.393198,46.570004,33.605934,0.000000,-8.877847,137.449997,0.023116,42.065065220867,-84.238296123741,293.20
27.240,1.409,-5.860806,-50.416210,2.949642,1.864149,-3.208026,6.000000,130.515549,13.218531,5919.600098,0.000000,2.870000,17.800001,856.000000,792.799988,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.732600,0.042000,141.800003,133.399994,138.399994,201.000000,13.200000,82.580002,183.379990,68.000000,68.000000,26.420706,11.000000,0.447146,-0.388512,-1.246551,-154.269623,22.112411,293.000000,1.610000,402.796478,16.407257,1.393198,46.472504,33.566372,0.000000,-8.398847,137.600006,0.023207,42.065064187136,-84.238296330887,293.20
27.250,1.410,-5.250458,-47.974815,3.055297,1.872405,-3.249727,6.000000,130.515549,13.218750,5900.000000,0.000000,2.870000,17.800001,856.000000,793.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.730000,0.042000,143.000000,132.500000,138.500000,200.500000,13.200000,82.580002,183.379990,68.000000,68.000000,26.408278,11.000000,0.466839,-0.398008,-1.254572,-154.199722,22.930595,293.000000,1.610000,402.321777,16.399540,1.393198,46.375004,33.526814,0.000000,-7.919846,137.750000,0.023299,42.065063153405,-84.238296538034,293.21
27.260,1.410,-2.198718,-44.923077,3.227362,1.899548,-3.009479,6.000000,130.515549,13.218969,5886.000000,0.000000,2.870000,17.800001,856.000000,793.799988,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.727400,0.042000,144.199997,131.600006,138.600006,200.000000,13.200000,82.580002,183.379990,68.000000,68.000000,26.395849,11.000000,0.486532,-0.407504,-1.262593,-154.129822,23.748777,293.000000,1.610000,401.847046,16.391823,1.393198,46.277504,33.487255,0.000000,-7.440845,137.899994,0.023390,42.065062119674,-84.238296745180,293.21
27.270,1.410,3.904762,-37.598900,3.539152,1.955744,-2.547622,6.000000,130.515549,13.219190,5872.000000,0.000000,2.870000,17.800001,856.000000,794.599976,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.724800,0.042000,145.399994,130.699997,138.699997,199.500000,13.200000,82.580002,183.379990,68.000000,68.000000,26.383423,11.000000,0.506226,-0.417000,-1.270615,-154.059921,24.566961,293.000000,1.610000,401.372314,16.384106,1.393198,46.180004,33.447693,0.000000,-6.961845,138.050003,0.023482,42.065061085942,-84.238296952326,293.21
27.280,1.411,5.125458,-35.157509,3.817088,2.028507,-2.167993,6.000000,130.515549,13.219409,5858.000000,0.000000,2.870000,17.800001,856.000000,795.400024,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.722200,0.042000,146.600006,129.800003,138.800003,199.000000,13.200000,82.580002,183.379990,68.000000,68.000000,26.370995,11.000000,0.525919,-0.426496,-1.278636,-153.990021,25.385145,293.000000,1.610000,400.897583,16.376387,1.393198,46.082504,33.408134,0.000000,-6.482845,138.199997,0.023573,42.065060052211,-84.238297159473,293.21
27.290,1.411,-0.367674,-43.702381,3.867453,2.012219,-2.066549,6.000000,130.515549,13.219629,5844.000000,0.000000,2.870000,17.800001,856.000000,796.200012,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.719600,0.042000,147.800003,128.899994,138.899994,198.500000,13.200000,82.580002,183.379990,68.000000,68.000000,26.358568,11.000000,0.545612,-0.435992,-1.286658,-153.920120,26.203329,293.000000,1.610000,400.422882,16.368670,1.393198,45.985004,33.368572,0.000000,-6.003845,138.350006,0.023665,42.065059018480,-84.238297366619,293.21
27.300,1.412,-4.640110,-47.974815,3.734743,1.934940,-1.988794,6.000000,130.515549,13.219849,5830.000000,0.000000,2.870000,17.800001,856.000000,797.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.717000,0.042000,149.000000,128.000000,139.000000,198.000000,13.200000,82.580002,183.379990,68.000000,68.000000,26.346140,11.000000,0.565305,-0.445488,-1.294679,-153.850220,27.021513,293.000000,1.610000,399.948151,16.360952,1.393198,45.887505,33.329014,0.000000,-5.524844,138.500000,0.023756,42.065057984749,-84.238297573765,293.21
27.310,1.412,-2.809066,-49.805862,3.555578,1.982604,-1.653557,6.000000,130.515549,13.220068,5827.799805,0.000000,2.870000,17.800001,856.000000,797.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.715500,0.042000,147.500000,128.899994,138.600006,193.800003,13.200000,82.580002,183.379990,68.000000,68.000000,26.271576,11.000000,0.580282,-0.452563,-1.302127,-153.799805,28.039085,293.000000,1.610000,394.488922,16.314648,1.393198,45.831253,32.874077,0.000000,-5.446067,138.199997,0.023745,42.065056951018,-84.238297780912,293.22
27.320,1.412,-3.419414,-46.754120,3.349103,2.182245,-1.217323,6.000000,130.515549,13.220288,5825.600098,0.000000,2.870000,17.800001,856.000000,797.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.714000,0.042000,146.000000,129.800003,138.199997,189.600006,13.200000,82.580002,183.379990,68.000000,68.000000,26.197010,11.000000,0.595259,-0.459637,-1.309576,-153.749374,29.056660,293.000000,1.610000,389.029694,16.268343,1.393198,45.775005,32.419140,0.000000,-5.367290,137.899994,0.023733,42.065055938407,-84.238298018276,293.22
27.330,1.413,-10.133242,-49.805862,3.083971,2.377502,-1.112929,6.000000,130.515549,13.220508,5823.399902,0.000000,2.870000,17.800001,856.000000,797.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.712500,0.042000,144.500000,130.699997,137.800003,185.399994,13.200000,82.580002,183.379990,68.000000,68.000000,26.122446,11.000000,0.610237,-0.466711,-1.317024,-153.698959,30.074232,293.000000,1.610000,383.570465,16.222038,1.393198,45.718754,31.964205,0.000000,-5.288512,137.600006,0.023721,42.065054975079,-84.238298326149,293.22
27.340,1.413,-10.133242,-52.857601,2.778187,2.492524,-1.476152,6.000000,130.515549,13.220728,5821.200195,0.000000,2.870000,17.800001,856.000000,797.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.711000,0.042000,143.000000,131.600006,137.399994,181.199997,13.200000,82.580002,183.379990,68.000000,68.000000,26.047882,11.000000,0.625214,-0.473785,-1.324473,-153.648529,31.091805,293.000000,1.610000,378.111237,16.175734,1.393198,45.662502,31.509270,0.000000,-5.209735,137.300003,0.023710,42.065054011750,-84.238298634023,293.22
27.350,1.413,-7.081501,-49.805862,2.466931,2.547684,-1.846180,6.000000,130.515549,13.220947,5819.000000,0.000000,2.870000,17.800001,856.000000,797.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.709500,0.042000,141.500000,132.500000,137.000000,177.000000,13.200000,82.580002,183.379990,68.000000,68.000000,25.973316,11.000000,0.640191,-0.480860,-1.331921,-153.598114,32.109379,293.000000,1.610000,372.651978,16.129429,1.393198,45.606255,31.054333,0.000000,-5.130958,137.000000,0.023698,42.065053048422,-84.238298941896,293.22
27.360,1.414,-5.860806,-52.857601,2.234059,2.537670,-1.832355,6.000000,130.515549,13.221167,5801.600098,0.000000,2.870000,17.800001,856.000000,797.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.708000,0.042000,140.000000,133.399994,136.600006,172.800003,13.200000,82.580002,183.379990,68.000000,68.000000,25.898752,11.000000,0.655168,-0.487934,-1.339370,-153.547699,33.126949,293.000000,1.610000,367.192749,16.083126,1.393198,45.550003,30.599396,0.000000,-5.052180,136.699997,0.023686,42.065052085093,-84.238299249769,293.22
27.370,1.414,-4.640110,-52.247253,2.252106,2.481598,-1.832538,6.000000,130.515549,13.221387,5784.200195,0.000000,2.870000,17.800001,856.000000,797.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.706500,0.042000,138.500000,134.300003,136.199997,168.600006,13.200000,82.580002,183.379990,68.000000,68.000000,25.824188,11.000000,0.670145,-0.495008,-1.346818,-153.497269,34.144524,293.000000,1.610000,361.733521,16.036821,1.393198,45.493752,30.144461,0.000000,-4.973403,136.399994,0.023674,42.065051121765,-84.238299557642,293.22
27.380,1.415,-7.691850,-50.416210,2.582873,2.439975,-2.277846,6.000000,130.515549,13.221606,5766.799805,0.000000,2.870000,17.800001,856.000000,797.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.705000,0.042000,137.000000,135.199997,135.800003,164.399994,13.200000,82.580002,183.379990,68.000000,68.000000,25.749624,11.000000,0.685122,-0.502083,-1.354267,-153.446854,35.162098,293.000000,1.610000,356.274292,15.990517,1.393198,45.437500,29.689524,0.000000,-4.894626,136.100006,0.023663,42.065050158436,-84.238299865515,293.22
27.390,1.415,-5.860806,-45.533424,3.022105,2.418953,-2.686943,6.000000,130.515549,13.221827,5749.399902,0.000000,2.870000,17.800001,856.000000,797.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.703500,0.042000,135.500000,136.100006,135.399994,160.199997,13.200000,82.580002,183.379990,68.000000,68.000000,25.675058,11.000000,0.700099,-0.509157,-1.361715,-153.396423,36.179668,293.000000,1.610000,350.815063,15.944212,1.393198,45.381252,29.234589,0.000000,-4.815848,135.800003,0.023651,42.065049195108,-84.238300173389,293.22
27.400,1.415,0.242674,-41.260990,3.351463,2.409258,-2.494439,6.000000,130.515549,13.222046,5732.000000,0.000000,2.870000,17.800001,856.000000,797.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.702000,0.042000,134.000000,137.000000,135.000000,156.000000,13.200000,82.580002,183.379990,68.000000,68.000000,25.600494,11.000000,0.715076,-0.516231,-1.369163,-153.346008,37.197243,293.000000,1.610000,345.355835,15.897907,1.393198,45.325001,28.779652,0.000000,-4.737071,135.500000,0.023639,42.065048231779,-84.238300481262,293.22
27.410,1.416,0.242674,-38.819595,3.555797,2.450962,-2.056959,6.000000,130.515549,13.222265,5716.799805,0.000000,2.870000,17.800001,856.000000,798.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.694500,0.042000,135.199997,141.500000,135.500000,157.800003,13.200000,82.580002,183.379990,68.000000,68.000000,25.451365,11.000000,0.724190,-0.516932,-1.372601,-153.309341,38.278988,293.000000,1.610000,348.085449,15.805298,1.393198,45.043751,29.007120,0.000000,-5.416968,138.350006,0.024228,42.065047268451,-84.238300789135,293.22
27.420,1.416,-0.978022,-41.260990,3.620327,2.538574,-1.874540,6.000000,130.515549,13.222486,5701.600098,0.000000,2.870000,17.800001,856.000000,799.000000,0.508000,0.009000,0.009000,0.009000,0.009000,0.009000,0.043000,1.687000,0.042000,136.399994,146.000000,136.000000,159.600006,13.200000,82.580002,183.379990,68.000000,68.000000,25.302237,11.000000,0.733304,-0.517633,-1.376039,-153.272675,39.360733,293.000000,1.610000,350.815063,15.712688,1.393198,44.762501,29.234589,0.000000,-6.096865,141.199997,0.024817,42.065046305122,-84.238301097008,293.22
